State,Constituency No,Constituency,Candidate,Party,Website
Uttar Pradesh,61,Basti ,Shri Y.D. Singh,BJP,
Uttar Pradesh,62,Sant Kabir Nagar ,Shri Sharad Tripathi,BJP,
Uttar Pradesh,63,Maharajganj ,Shri Pankaj Chaudhary,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=3479
Uttar Pradesh,64,Gorakhpur ,Yogi Aditya Nath,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=7
Uttar Pradesh,65,Kushi Nagar ,Shri Vijay Dubey,BJP,
Uttar Pradesh,66,Deoria ,Gen. Prakashmani Tripathi,BJP,
Uttar Pradesh,67,Bansgaon (SC) ,Shri Kamlesh Paswan,BJP,
Uttar Pradesh,68,Lalganj (SC) ,Smt. Neelam Sonkar,BJP,
Uttar Pradesh,69,Azamgarh ,Shri Ramakant Yadav,BJP,
Uttar Pradesh,70,Ghosi ,Shri Ram Ikbal Singh,BJP,
Uttar Pradesh,72,Balia ,Shri Manoj Kumar Sinha,BJP,
Uttar Pradesh,74,Machhli Shahar (SC) ,Shri Vidhyasagar Sonkar,BJP,
Uttar Pradesh,75,Ghazipur ,Shri Prabhu Nath Choudhary,BJP,
Uttar Pradesh,76,Chandauli ,Shri Jawahar Jaiswal,BJP,
Uttar Pradesh,77,Varanasi ,Dr. Murli Manohar Joshi,BJP,
Uttar Pradesh,78,Bhadohi ,Shri Mahendra Pandey,BJP,
Uttar Pradesh,79,Mirzapur ,Shri Anurag Singh,BJP,
Uttar Pradesh,80,Robertsganj (SC) ,Shri Ramsakal ,BJP,
Uttarakhand,1,Tehri ,Shri Jaspal Rana,BJP,
Uttarakhand,2,Garhwal (Pauri) ,Lt. Gen. T.P.S. Rawat,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4245
Uttarakhand,3,Almora (SC) ,Shri Ajay Tamta,BJP,
Uttarakhand,4,Nainital (Udhamsingh Nagar ,Shri Bacchi Singh Rawat,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=29
Uttarakhand,5,Haridwar ,Shri Madan Kaushik ,BJP,
West Bengal,1,Cooch Behar (SC) ,Shri Bhabendra Nath Barman,BJP,
West Bengal,3,Jalpaiguri (SC) ,Dipen Pramanik,BJP,
West Bengal,4,Darjeeling ,Shri Dawa Sherpa,BJP,
West Bengal,5,Raigunj ,Shri Gopesh Chandra Sarkar,BJP,
West Bengal,6,Balurghat ,Shri Subhas Chandra Barman,BJP,
West Bengal,7,Uttar Malda ,Shri Amlan Bhaduri,BJP,
West Bengal,8,Malda Dakshin ,Shri Dipak Chowdhury,BJP,
West Bengal,9,Jangipur ,Shri Debasis Chandra Mazumdar,BJP,
West Bengal,10,Baharampur ,Shri Bidyut Kumar Haldar,BJP,
West Bengal,11,Murshidabad ,Shri Nirmal Saha,BJP,
West Bengal,12,Krishnagar ,Shri Satya Brata Mookherjee,BJP,
West Bengal,13,Ranaghat (SC) ,Shri Sukalyan Roy,BJP,
West Bengal,14,Bangaon (SC) ,Shri K.P. Majumdar,BJP,
West Bengal,15,Barrackpore ,Shri Prabhakar Tewari,BJP,
West Bengal,16,Dum Dum ,Shri Tapan Sikdar,BJP,
West Bengal,17,Barasat ,Shri Bratin Sengupxa,BJP,
West Bengal,18,Basirhat ,Shri Swapan Kumar Das,BJP,
West Bengal,19,Joynagar (SC) ,Shri Nirod Haldar,BJP,
West Bengal,20,Mathurapur (SC) ,Shri Binay Kumar Biswas,BJP,
West Bengal,21,Diamond Harbour ,Shri Abhijit Das,BJP,
West Bengal,22,Jadavpur ,Shri Sanat Bhattacharya,BJP,
West Bengal,23,Kolkata Dakshin ,Smt. Jyotsna Bannerjee,BJP,
West Bengal,24,Kolkata Uttar ,Shri Tathagata Roy,BJP,
West Bengal,25,Howrah ,Smt. Polly Mukherjee,BJP,
West Bengal,26,Uluberia ,Shri Rahul Chakrabarty,BJP,
West Bengal,27,Sreerampur ,Shri Debabrata Choudhary,BJP,
West Bengal,28,Hoogly ,Dr. Chunilal Chakravarti,BJP,
West Bengal,29,Arambag (SC) ,Shri Murari Bera,BJP,
West Bengal,30,Tamluk ,Smt. Rajshree Choudhary,BJP,
West Bengal,31,Kanthi ,Shri Amalesh Mishra,BJP,
West Bengal,32,Ghatal ,Shri Motilal Khatua,BJP,
West Bengal,33,Jhargram (ST) ,Shri Nabendu Mahali,BJP,
West Bengal,34,Medinipur ,Shri Pradip Pattanayak,BJP,
West Bengal,35,Purulia ,Shri Sayantan Bose,BJP,
West Bengal,36,Bankura ,Shri Rahul Sinha,BJP,
West Bengal,37,Bishnupur (SC) ,Dr. Jayanta Mondal,BJP,
West Bengal,38,Bardhaman Purba (SC) ,Shri Mahitosh Bauri,BJP,
West Bengal,39,Burdwan ,Syed Ali Afzal Chand,BJP,
West Bengal,40,Asansol ,Shri Surya Roy,BJP,
West Bengal,41,Bolpur (SC) ,Shri Arjun Saha,BJP,
West Bengal,42,Birbhum ,Shri Tapas Mukherjee ,BJP,
Madhya Pradesh,16,Chhindwara,Kamal Nath,INC,
Madhya Pradesh,4,Guna,Jyotiraditya Scindia,INC,
Madhya Pradesh,24,Ratlam,Kantilal Bhuria,INC,
Madhya Pradesh,28,Khandwa,Arun Yadav,INC,
Madhya Pradesh,1,Morena,Ram Niwas Rawat,INC,
Madhya Pradesh,3,Gwalior,Ashok Singh,INC,
Madhya Pradesh,6,Tikamgarh,Vrindawan Ahirwar,INC,
Madhya Pradesh,7,Damoh,Chandrabhan Singh,INC,
Madhya Pradesh,10,Rewa,Sunderlal Tiwari,INC,
Madhya Pradesh,15,Balaghat,Vishveshwar Bhagat,INC,
Madhya Pradesh,25,Dhar,Gajendra Singh Rajukhedi,INC,
Madhya Pradesh,25,Betul,Oza Ram,INC,
Chandigarh(UT),1,Chandigarh,Pawan Kumar Bansal,INC,
Assam,2,Silchar,Santosh Mohan Dev,INC,
Assam,12,Jorhat,B. K. Handique,INC,
Assam,1,Karimganj,Lalit Mohan Suklabaidyae,INC,
Assam,3,Autonomous,Biren Singh Engti,INC,
Assam,9,Tezpur,M. K. Subba,INC,
Assam,11,Kaliabor,Dip Gogoi,INC,
Assam,6,Barpeta,Ismail Hussain,INC,
Assam,7,Gauhati,Robin Bordoloi,INC,
Assam,8,Mangaldoi,Madhab Rajbonshi,INC,
Assam,10,Nowgong,Anil Raja,INC,
Assam,13,Dibrugarh,P. S. Ghatowar,INC,
Nagaland,1,Nagaland,K. A. Sangtam,INC,
Utter Pradesh,3,MUZAFFARNAGAR,HARENDRA MALIK,INC,
Utter Pradesh,7,RAMPUR,BEGUM NOOR BANO,INC,
Utter Pradesh,12,GHAZIABAD,SUREDNRA PRAKSH GOEL,INC,
Utter Pradesh,14,BULANSHAHR-SC,DEVI DAYAL,INC,
Utter Pradesh,15,ALIGARH,BIJENDRA SINGH,INC,
Utter Pradesh,17,MATHURA,MANVENDRA SINGH,INC,
Utter Pradesh,19,FATHEPUR SIKRI,RAJ BABBAR,INC,
Utter Pradesh,25,BAREILLY,PRAVEEN SINGH AIRON,INC,
Utter Pradesh,29,DHAURAHRA,JITIN PRASAD,INC,
Utter Pradesh,33,UNNAO,SMT. ANNU TANDON,INC,
Utter Pradesh,36,RAE BARELI,SMT. SONIA GANDHI,INC,
Utter Pradesh,37,AMETHI,RAHUL GANDHI,INC,
Utter Pradesh,39,PRATAPGARH,SMT. RATNA SINGH,INC,
Utter Pradesh,40,FARRUKHABAD,SALMAN KHURSHID,INC,
Utter Pradesh,43,KANPUR,SRIPRAKASH JAISWAL,INC,
Utter Pradesh,53,BARABANKI-SC,P.L. PUNIA,INC,
Utter Pradesh,54,FAIZABAD,NIRMAL KHATRI,INC,
Utter Pradesh,59,GONDA,BENI PRASAD VERMA,INC,
Utter Pradesh,60,DOMARIYAGANJ,JAGADAMBIKA PAL,INC,
Utter Pradesh,65,KUSHI NAGAR,R.P.N. SINGH,INC,
Utter Pradesh,67,BANSGAON-SC,MAHAVIR PRASAD,INC,
Utter Pradesh,70,GHOSI,SMT. SUDHA RAI,INC,
Utter Pradesh,71,SALEMPUR,BHOLA PANDE,INC,
Utter Pradesh,77,VARANASI,DR. RAJESH MISHRA,INC,
Utter Pradesh,27,Shahjahanpur,Umed Singh,INC,
Utter Pradesh,61,Basti,Basant Chowdhury,INC,
Utter Pradesh,69,Azamgarh,Santosh Kumar Singh,INC,
Utter Pradesh,23,Badaun,Salim Sherwani,INC,
Utter Pradesh,11,Baghpat,Sompal Shastri,INC,
Utter Pradesh,26,Pilibhit,VM Singh,INC,
Utter Pradesh,13,Gautam Buddh Nagar,Ramesh Tomar,INC,
Utter Pradesh,66,Deoria,Baleswar Yadav,INC,
Utter Pradesh,1,Saharanpur,Gajendra Singh,INC,
Utter Pradesh,4,Bijnor,Saeed-ud-Jama,INC,
Utter Pradesh,30,Sitapur,Ramlal Rahi,INC,
Utter Pradesh,63,Maharajganj,Harsh Vardhan Singh,INC,
Utter Pradesh,46,Jhansi,Pradeep Jain,INC,
Utter Pradesh,76,Chandauli,Shailender Singh,INC,
Utter Pradesh,58,Shrawasti,Vinay Pande,INC,
Delhi,,West Delhi,Deepak Bhardwaj,BSP,
Delhi,,East Delhi,Asif Khan,BSP,
Delhi,,Chandni Chowk,Mustaqeem,BSP,
Delhi,,Northeast Delhi,Haji Dilshad,BSP,
Delhi,,New Delhi,Trilok Chand Sharma,BSP,
Delhi,,North West,Rakesh Hansh,BSP,
Delhi,,South Delhi,Kanwar Singh Tanwar,BSP,
