State,Constituency No,Constituency,Candidate,Party,Website
Gujarat,3,Patan ,Shri Bhavsinh Rathor,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/patan.html
Gujarat,4,Mahesana ,Smt. Jaishreeben Patel,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/mehsana.html
Gujarat,5,Sabarkantha ,Dr. Mahendrasinh Chauhan,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/sabarkantha.html
Gujarat,6,Gandhinagar ,Shri L.K. Advani,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=9
Gujarat,7,Ahmedabad East ,Shri Harin Pathak,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=310
Gujarat,8,Ahmedabad (West) (SC) ,Dr. Kirit Solanki,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/ahmedabad_west.html
Gujarat,9,Surendranagar ,Shri Laljibhai Mer,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/surendranagar.html
Gujarat,10,Rajkot ,Shri Kiranbhai Patel,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/rajkot.html
Gujarat,11,Probandar ,Shri Mansukh Khacharia,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/porbandar.html
Gujarat,12,Jamnagar ,Shri Rameshbhai Mungra,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/jamnagar.html
Gujarat,14,Amreli ,Shri Narayanbhai Kachia,BJP,
Gujarat,15,Bhavnagar ,Shri Rajendra Singh Rana,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=358
Gujarat,16,Anand ,Shri Dipakbhai Sathi,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/anand.html
Gujarat,17,Kheda ,Shri Devusinh Chauhan,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/kheda.html
Gujarat,18,Panchmahals ,Shri Prabhatsinh Chauhan,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/panchmahal.html
Gujarat,19,Dahod (ST) ,Shri Somji Damor,BJP,
Gujarat,20,Vadodara ,Shri Balubhai Shukl,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/vadodara.html
Gujarat,21,Chhota Udaipur (ST) ,Shri Ramsinh Rathwa,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/chota_udaipur.html
Gujarat,22,Bharuch ,Shri Mansukhbhai Vasava,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/bharuch.html
Gujarat,23,Bardoli (ST) ,Shri Ritesh Vasava,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/bardoli.html
Gujarat,24,Surat ,Smt. Darshnaben Jardosh,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/surat.html
Gujarat,25,Navsari ,Shri C.R. Patil,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/navsari.html
