List of MPs with pending cases (Lok Sabha2004),,,,,,,,,,,,,,,,,,,,
S.No,State,Constituency,Candidate,Sex,Age,Category,Party,Sections,Criminal cases,,,,,,,,,,,
16,BIHAR,Khagaria,RABINDRA KU RANA,M,58,GEN,RJD,"Case No. RC 20(A)/96, Case No. RC 22(A)/96, Case No. RC 33(A)/96, Case No. RC 38(A)/96, Case No. RC 47(A)/96, Case No. RC 63(A)/96, Case No. RC 64(A)/96, Case No. RC 68(A)/96, Case No. RC 79(A)/96, Complaint Case No. 156(C)/2000
u/s 120(AB), 467, 468, 471","Criminal conspiracy, Forgery, Fraud, Cheating, Breach of trust, FERA Act",,,,,,,,,,,
17,BIHAR,Monghyr,JAY PRAKASH NARAYAN YADAV,M,54,GEN,RJD,"Case No(Nigrani PS) 12/2000 u/s 420, 465, 468, 477A, 109, 120B Prevention of Corruption Act-1988 u/s 13(2), 13(1)D","Cheating, Forgery, Abeting a crime, Criminal conspiracy,Prevention of Corruption Act ",,,,,,,,,,,
18,CHHATTISGARH,Surguja,NAND KUMAR SAI,M,65,ST,BJP,"332, 353, 294, 147","1 CASE –
2001 - Rioting, assault and voluntarily causing
grievous hurt to deter public servant from duty,
 wrongful restraints and obscene songs- PENDING.",,,,,,,,,,,
19,CHHATTISGARH,Mahasamund,AJIT  JOGI,M,57,ST,INC,"181, 420, 467, 468, 471, 472, 474","False statement,2003 (both) - Cheating, forgery, possessing and using
forged documents knowingly, counterfeiting seals,
forgery for harming a person's reputation",,,,,,,,,,,
20,CHHATTISGARH,Bastar,BALIRAM KASHYAP,M,67,ST,BJP,188, Disobeying lawful order of public servant,,,,,,,,,,,
21,DAMAN & DIU,Daman And Diu,PATEL DAHYABHAI VALLABHBHAI,M,58,GEN,INC,"Case No. 13-1999, IPC 419, 420, 120B","Cheating,, Criminal conspiracy",,,,,,,,,,,
22,GOA,Mormugao,ALEMAO CHURCHIL BRAZ,M,55,GEN,INC,"143, 144, 145, 147, 148 IPC","unlawful assembly, unlawful assembly with deadly weapon, joining and continuing unlawful assembly, Rioting, Rioting with deadly weapons",,,,,,,,,,,
23,GUJARAT,Surendranagar,KOLI PATEL SOMABHAI GANDABHAI,M,63,GEN,BJP,Gujarati,"Criminal Breach of trust, ",,,,,,,,,,,
24,GUJARAT,Junagadh,BARAD JASUBHAI DHANABHAI,M,49,GEN,INC,Gujarati,"Attempt to murder, Criminal conspiracy, Criminal intimidationand death thrreat",,,,,,,,,,,
25,GUJARAT,Amreli,VIRJIBHAI THUMMAR,M,43,GEN,INC,Gujarati,"Criminal Case No:- 136/99, Bagsara Court, dated 24/05/99, detail not given in affidavit",,,,,,,,,,,
26,GUJARAT,Ahmedabad,HARIN PATHAK,M,56,GEN,BJP,Gujarati,"Murder, Attampt to murder, Rioting",,,,,,,,,,,
27,GUJARAT,Banaskantha,CHAVDA HARISINHAJI PRATAPSINHAJI,M,73,GEN,INC,Gujarati,"Extortion, Obstructing pubic servant in discharge of public function",,,,,,,,,,,
28,GUJARAT,Kapadvanj,VAGHELA SHANKERSINH LAXMANSINH,M,64,GEN,INC,Gujarati,Two cases under prevention of corruption act,,,,,,,,,,,
29,GUJARAT,Valsad,KISHANBHAI VESTABHAI PATEL,M,39,ST,INC,Gujarati,"Assault to cause breach of peace, obstructing public servant in discharge of public functions",,,,,,,,,,,
30,HARYANA,Hissar,JAI PARKASH,M,51,GEN,INC,"148, 149, 427, 448, 395, 397, 506, 452, 25 &27 of Arms Act, 420, 465, 468, 471, 120-B, 395, 397, 201, and 25&27 Arms Act, 420, 467, 468, 471, 218, 120-B, 506, 120-B, 109, 34","Rioting with deadly weapon, unlawful assembly, Causing damage, House trespass, Dacoity, Robbery or dacoity with attempt to cause death or grieveous hurt, Criminal intimidation and death threat, House trespass for causing hurt or assault, cheating, forgery, Criminal conspiracy, Destroying evidence, Distorting record, Abeting a crime, Criminal acts jointly committed, ARMS ACT",,,,,,,,,,,
31,HARYANA,Rohtak,BHUPINDER SINGH,M,54,GEN,INC,"498, 406,34, 438CrPC","Taking away or detaining a married woman,Breach of trust, Criminal acts jointly committed, Punishment for the mischief described in section 437 committed by fire or explosive substance",,,,,,,,,,,
32,JHARKHAND,Rajmahal,HEMLAL MURMU,M,51,ST,JMM,"144, 143, 353 and 174 Railways Act","Unlawful assembly, Unlawful assembly with deadly weapon , Assaulting Public Servant to prevent him from doing his duty, 174 Railways Act",,,,,,,,,,,
33,JHARKHAND,Dumka,SHIBU SOREN,M,59,ST,JMM,"13(2) &7/13(1)F PC Act1988, 120-B, 364, 302, 201, 323, 342, 504, 347, 348, 304, 34, 148, 149, 302, 436, 429","Criminal conspiracy, Kidnapping with intent to murder, Murder, Destroying evidence, Causing Hurt , Wrongful Confinement , Assault to cause breach of Peace, Wrong confinement to extort property or constraint to illegal act, Wrong confinement to extort confession or compel restoration of property, Culpable Homicide not amounting to Murder, Criminal Acts jointly committed , Rioting armed with deadly weapon , Offences committed by unlawful assembly, mischief by fire or explosive substance, mischief by killing or mamming cattle etc",,,,,,,,,,,
34,JHARKHAND,Chatra,DHIRENDRA AGARWAL,M,45,GEN,RJD,"147, 149, 323, 336, 353, 379","Rioting , Offences committed by Unlawful assembly , Causing hurt , Endangering life and Safety of people , Assaulting Public Servant to prevent him from doing his duty, Theft ",,,,,,,,,,,
35,JHARKHAND,Giridih,TEK LAL MAHTO,M,52,GEN,JMM,"147, 148, 342, 448, 353","Rioting, Rioting with a deadly weapon , Wrongful Confinement , House Trespass, Assaulting Public Servant to prevent him from doing his duty ",,,,,,,,,,,
36,JHARKHAND,Jamshedpur,SUNIL KUMAR MAHATO,M,38,GEN,JMM,"147, 148, 448, 427, 511, 147, 341, 448, 323 and 27 Arms Act, 147, 323, 341","Rioting, Rioting with deadly weapon , Causing Damage, Attempting to commit offence ",,,,,,,,,,,
37,JHARKHAND,Hazaribagh,BHUBNESHWAR PRASAD MEHTA,M,60,GEN,CPI,"147, 341, 353","Rioting , Wrongful Restraint , Assaulting Public Servant to prevent him from doing his duty ",,,,,,,,,,,
38,JHARKHAND,Godda,FURKAN ANSARI,M,52,GEN,INC,"174, 143 R.P.Act, 133, 179, 192, 182 M.P Act, 147, 149, 448, 341, 323, 454, 427, 307","R.P. Act, M.P. Act, Rioting, Offences committed by unlawful assembly, House trespass, Wrongful restraint, Causing hurt, House breaking inorder to commit offence, Causing damage, Attemp to murder",,,,,,,,,,,
39,KARNATAKA,Bangalore South,ANANTH KUMAR,M,44,GEN,BJP,"CC NO.18659/1997,IPC S :143 Unlawful assembly,147 Rioting,148 Rioting with deadly weapons,149 Offences under unlawful assembly,323 Causing hurt,329,332 Hurting public servant,353 Assaulting public servant,427 Causing damage, Section 107 of K.P. Act","CC NO.18659/1997,IPC S :143 Unlawful assembly,147 Rioting,148 Rioting with deadly weapons,149 Offences under unlawful assembly,323 Causing hurt,329,332 Hurting public servant,353 Assaulting public servant,427 Causing damage, Section 107 of K.P. Act ",,,,,,,,,,,
40,KARNATAKA,Shimoga,S BANGARAPPA,M,71,GEN,BJP,U/s. 13(2) R/W 13(1) (c) prevention of Corruption Act.  XXI ADDl. City Civil Court and Sessions (Special) Judge for CBI cases at Bangalore. SPL. CC. No. 47/1999.,U/s. 13(2) R/W 13(1) (c) prevention of Corruption Act.  XXI ADDl. City Civil Court and Sessions (Special) Judge for CBI cases at Bangalore. SPL. CC. No. 47/1999.,,,,,,,,,,,
