State,Constituency No,Constituency,Candidate,Party,Website,Caste,Sex,Education
Gujarat,1,Kuchchh  ,Punamben Jat,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/kutch.html,SC,Female,
Gujarat,2,Banaskantha ,Haribhai Chaudhari,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/banaskantha.html,,Male,
Gujarat,3,Patan ,Bhavsinh Rathor,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/patan.html,,Male,
Gujarat,4,Mahesana ,Jaishreeben Patel,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/mehsana.html,,Female,
Gujarat,5,Sabarkantha ,Mahendrasinh Chauhan,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/sabarkantha.html,,Male,Graduate
Gujarat,6,Gandhinagar ,L.K. Advani,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=9,,Male,
Gujarat,7,Ahmedabad East ,Harin Pathak,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=310,,Male,
Gujarat,8,Ahmedabad West,Kirit Solanki,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/ahmedabad_west.html,SC,Male,
Gujarat,9,Surendranagar ,Laljibhai Mer,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/surendranagar.html,,Male,
Gujarat,10,Rajkot ,Kiranbhai Patel,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/rajkot.html,,Male,
Gujarat,11,Probandar ,Mansukh Khacharia,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/porbandar.html,,Male,
Gujarat,12,Jamnagar ,Rameshbhai Mungra,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/jamnagar.html,,Male,
Gujarat,14,Amreli ,Narayanbhai Kachia,BJP,,,Male,
Gujarat,15,Bhavnagar ,Rajendra Singh Rana,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=358,,Male,
Gujarat,16,Anand ,Dipakbhai Sathi,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/anand.html,,Male,
Gujarat,17,Kheda ,Devusinh Chauhan,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/kheda.html,,Male,
Gujarat,18,Panchmahals ,Prabhatsinh Chauhan,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/panchmahal.html,,Male,
Gujarat,19,Dahod,Somji Damor,BJP,,ST,Male,
Gujarat,20,Vadodara ,Balubhai Shukl,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/vadodara.html,,Male,
Gujarat,21,Chhota Udaipur,Ramsinh Rathwa,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/chota_udaipur.html,ST,Male,
Gujarat,22,Bharuch ,Mansukhbhai Vasava,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/bharuch.html,,Male,
Gujarat,23,Bardoli,Ritesh Vasava,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/bardoli.html,ST,Male,
Gujarat,24,Surat ,Darshnaben Jardosh,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/surat.html,,Male,
Gujarat,25,Navsari ,C.R. Patil,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/navsari.html,,Male,
Gujarat,26,Valsad,Dhirubhai Patel,BJP,http://www.bjpguj.org/Candidate%27s%20Biodata_LS/valsad.html,ST,Male,Graduate
Haryana,1,Ambala,Ratan Lal Kataria,BJP,,SC,Male,
Haryana,5,Karnal ,I.D. Swamy,BJP,,,Male,
Haryana,6,Sonepat ,Kishan Singh Sangwan,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=396,,Male,
Haryana,9,Gurgaon ,Sudha Yadav,BJP,,,Female,Graduate
Haryana,10,Faridabad ,Ram Chandra Bainda ,BJP,,,Male,
Himachal Pradesh,1,Kangra ,Rajan Sushant,BJP,,,Male,Graduate
Himachal Pradesh,2,Mandi ,Maheshwar Singh,BJP,,,Male,
Himachal Pradesh,3,Hamirpur ,Anurag Thakur,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=4249,,Male,
Himachal Pradesh,4,Shimla,Virendra Kashyap ,BJP,,SC,Male,
Jammu & Kashmir ,5,Udhampur ,Nirmal Singh,BJP,,,Male,Graduate
Jammu & Kashmir,6,Jammu ,Leela Karan Sharma ,BJP,,,Male,
Jharkhand,1,Rajmahal,Devidhan Besra,BJP,,ST,Male,
Jharkhand,2,Dumka,Sunil Soren,BJP,,ST,Male,
Jharkhand,3,Godda ,Nishikant Dubey,BJP,,,Male,
Jharkhand,6,Giridih ,Ravindra Pandey,BJP,,,Male,
Jharkhand,7,Dhanbad ,Pashupatinath Singh,BJP,,,Male,
Jharkhand,8,Ranchi ,Ramtahal Choudhary,BJP,,,Male,
Jharkhand,9,Jamshedpur ,Arjun Munda,BJP,,,Male,
Jharkhand,10,Singhbhumi,Badkunwar Gagrai,BJP,,ST,Male,
Jharkhand,11,Khunti,Karia Munda,BJP,,ST,Male,
Jharkhand,12,Lohardaga,Sudarshan Bhagat,BJP,,ST,Male,
Jharkhand,14,Hazaribagh ,Yashwant Sinha ,BJP,,,Male,
Karnataka,1,Chikkodi ,Ramesh Katti,BJP,http://bjpkarnataka.org/mp-candidates/ramesh-vishwanath-katti/#more-1153,,Male,
Karnataka,2,Belgaum ,Suresh Angadi,BJP,http://bjpkarnataka.org/mp-candidates/shri-suresh-chanabasappa-angadi/#more-1074,,Male,
Karnataka,3,Bagalkot ,P.C. Gaddigoudar,BJP,http://bjpkarnataka.org/mp-candidates/shri-pc-gaddigoudar/#more-1083,,Male,
Karnataka,4,Bijapur ,Ramesh Jigajinagi,BJP,http://164.100.47.134/newls/HomePage.aspx?mpsno=170,SC,Male,
Karnataka,5,Gulbarga ,Revu Nayak Belamagi,BJP,http://bjpkarnataka.org/mp-candidates/revu-nayak-belamagi/#more-1040,SC,Male,
Karnataka,6,Raichur ,Raja Amareshwara Nayak,BJP,http://bjpkarnataka.org/mp-candidates/raja-amareshwara-nayak/#more-1042,ST,Male,
Karnataka,7,Bidar ,Gurupadappa Nagamarapalli,BJP,http://bjpkarnataka.org/mp-candidates/gurupadappa-nagamarapalli/#more-1037,,Male,
Karnataka,8,Koppala ,Shivarama Gouda,BJP,http://bjpkarnataka.org/mp-candidates/shivaram-gouda/#more-1118,,Male,
Karnataka,9,Bellary ,J. Shanthi,BJP,http://bjpkarnataka.org/mp-candidates/j-shantha/#more-1588,ST,Female,
